Id,Name,Phone,Email,Sem,Cource,Branch
77,rohan,8151876179,rony13@gmail.com,8th,BE,CSE
66,rohan,8151876179,roh13@gmail.com,7th,BE,CSE
45,rohan,8151876179,r123@gmail.com,7th,BE,CSE
69,sahana,9110479680,sah123@gmail.com,7th,BE,CSE
44,rohan,8151876179,roh@gmail.com,6th,BE,CSE
99,saniya,8765432345,san@gmail.com,8th,BE,CSE
44,sahana,7766543278,sahana@gmail.com,6th,MBA,CSE
44,sahana,1234567890,sahana@gmail.com,8th,BE,CSE
45,sahana,7766543278,sahana@gmail.com,2nd,BE,CSE
65,student5,7766543278,student@gmail.com,8th,BE,CSE
6,rohan,8151876179,rohan@gmail.com,8th,BE,CSE
5,student9,9110479680,sah123@gmail.com,7th,BE,CSE
8,Saniya,897654689,saniya@gmail.com,8th,BE,CSE
69,rohith pg,8765432345,rohith@gmail.com,8th,BE,CSE
2,Saniya,9110479680,saniya@gmail.com,5th,BE,CSE
